doc_id,adu1_pos,adu2_pos,adu1_aty,adu2_aty,rel_label,adu1_text,adu2_text
2,4,2,Premise,Premise,none,<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>,"<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>"
2,4,3,Premise,Premise,none,<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>,"<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>"
3,1,2,Premise,Claim,Support,<AC> the significance of competition is that how to become more excellence to gain the victory </AC>,<AC> competition makes the society more effective </AC>
3,1,3,Premise,Premise,none,<AC> the significance of competition is that how to become more excellence to gain the victory </AC>,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>"
3,1,4,Premise,Premise,none,<AC> the significance of competition is that how to become more excellence to gain the victory </AC>,"<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>"
3,1,5,Premise,Claim,none,<AC> the significance of competition is that how to become more excellence to gain the victory </AC>,"<AC> without the cooperation , there would be no victory of competition </AC>"
3,2,1,Claim,Premise,none,<AC> competition makes the society more effective </AC>,<AC> the significance of competition is that how to become more excellence to gain the victory </AC>
3,2,3,Claim,Premise,none,<AC> competition makes the society more effective </AC>,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>"
3,2,4,Claim,Premise,none,<AC> competition makes the society more effective </AC>,"<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>"
3,2,5,Claim,Claim,none,<AC> competition makes the society more effective </AC>,"<AC> without the cooperation , there would be no victory of competition </AC>"
3,3,1,Premise,Premise,none,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>",<AC> the significance of competition is that how to become more excellence to gain the victory </AC>
3,3,2,Premise,Claim,none,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>",<AC> competition makes the society more effective </AC>
3,3,4,Premise,Premise,none,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>","<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>"
3,3,5,Premise,Claim,Support,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>","<AC> without the cooperation , there would be no victory of competition </AC>"
3,4,1,Premise,Premise,none,"<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>",<AC> the significance of competition is that how to become more excellence to gain the victory </AC>
3,4,2,Premise,Claim,none,"<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>",<AC> competition makes the society more effective </AC>
3,4,3,Premise,Premise,none,"<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>","<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>"
3,4,5,Premise,Claim,Support,"<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>","<AC> without the cooperation , there would be no victory of competition </AC>"
3,5,1,Claim,Premise,none,"<AC> without the cooperation , there would be no victory of competition </AC>",<AC> the significance of competition is that how to become more excellence to gain the victory </AC>
3,5,2,Claim,Claim,none,"<AC> without the cooperation , there would be no victory of competition </AC>",<AC> competition makes the society more effective </AC>
3,5,3,Claim,Premise,none,"<AC> without the cooperation , there would be no victory of competition </AC>","<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>"
3,5,4,Claim,Premise,none,"<AC> without the cooperation , there would be no victory of competition </AC>","<AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC>"
12,1,2,Premise,Premise,none,<AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC>,"<AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC>"
12,1,3,Premise,Premise,none,<AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC>,<AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC>
12,1,4,Premise,Claim,Support,<AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC>,<AC> tourism has clearly improved lives in the tourist country </AC>
12,2,1,Premise,Premise,none,"<AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC>",<AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC>
12,2,3,Premise,Premise,none,"<AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC>",<AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC>
12,2,4,Premise,Claim,Support,"<AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC>",<AC> tourism has clearly improved lives in the tourist country </AC>
12,3,1,Premise,Premise,none,<AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC>,<AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC>
12,3,2,Premise,Premise,none,<AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC>,"<AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC>"
12,3,4,Premise,Claim,Support,<AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC>,<AC> tourism has clearly improved lives in the tourist country </AC>
12,4,1,Claim,Premise,none,<AC> tourism has clearly improved lives in the tourist country </AC>,<AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC>
12,4,2,Claim,Premise,none,<AC> tourism has clearly improved lives in the tourist country </AC>,"<AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC>"
12,4,3,Claim,Premise,none,<AC> tourism has clearly improved lives in the tourist country </AC>,<AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC>
13,1,2,Premise,Premise,none,"<AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC>","<AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC>"
13,1,3,Premise,Premise,none,"<AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC>","<AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC>"
13,1,4,Premise,Claim,Support,"<AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC>",<AC> tourism has survived many non - tangible cultural values and beauty scenes </AC>
13,2,1,Premise,Premise,none,"<AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC>","<AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC>"
13,2,3,Premise,Premise,none,"<AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC>","<AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC>"
13,2,4,Premise,Claim,Support,"<AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC>",<AC> tourism has survived many non - tangible cultural values and beauty scenes </AC>
13,3,1,Premise,Premise,none,"<AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC>","<AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC>"
13,3,2,Premise,Premise,none,"<AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC>","<AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC>"
13,3,4,Premise,Claim,Support,"<AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC>",<AC> tourism has survived many non - tangible cultural values and beauty scenes </AC>
13,4,1,Claim,Premise,none,<AC> tourism has survived many non - tangible cultural values and beauty scenes </AC>,"<AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC>"
13,4,2,Claim,Premise,none,<AC> tourism has survived many non - tangible cultural values and beauty scenes </AC>,"<AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC>"
13,4,3,Claim,Premise,none,<AC> tourism has survived many non - tangible cultural values and beauty scenes </AC>,"<AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC>"
17,1,2,Premise,Premise,none,"<AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC>","<AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC>"
17,1,3,Premise,Premise,none,"<AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC>","<AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC>"
17,1,4,Premise,Claim,Support,"<AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC>",<AC> the print media has failed to keep its important role in the provision of information </AC>
17,2,1,Premise,Premise,none,"<AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC>","<AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC>"
17,2,3,Premise,Premise,none,"<AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC>","<AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC>"
17,2,4,Premise,Claim,Support,"<AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC>",<AC> the print media has failed to keep its important role in the provision of information </AC>
17,3,1,Premise,Premise,none,"<AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC>","<AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC>"
17,3,2,Premise,Premise,none,"<AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC>","<AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC>"
17,3,4,Premise,Claim,Support,"<AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC>",<AC> the print media has failed to keep its important role in the provision of information </AC>
17,4,1,Claim,Premise,none,<AC> the print media has failed to keep its important role in the provision of information </AC>,"<AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC>"
17,4,2,Claim,Premise,none,<AC> the print media has failed to keep its important role in the provision of information </AC>,"<AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC>"
17,4,3,Claim,Premise,none,<AC> the print media has failed to keep its important role in the provision of information </AC>,"<AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC>"
18,1,2,Premise,Premise,none,"<AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC>",<AC> the internet service is being provided at a low cost or even free in many countries </AC>
18,1,3,Premise,Premise,none,"<AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC>","<AC> The answer , perhaps , is that hardly would rational people do so </AC>"
18,1,4,Premise,Claim,Support,"<AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC>","<AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC>"
18,2,1,Premise,Premise,none,<AC> the internet service is being provided at a low cost or even free in many countries </AC>,"<AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC>"
18,2,3,Premise,Premise,none,<AC> the internet service is being provided at a low cost or even free in many countries </AC>,"<AC> The answer , perhaps , is that hardly would rational people do so </AC>"
18,2,4,Premise,Claim,Support,<AC> the internet service is being provided at a low cost or even free in many countries </AC>,"<AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC>"
18,3,1,Premise,Premise,none,"<AC> The answer , perhaps , is that hardly would rational people do so </AC>","<AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC>"
18,3,2,Premise,Premise,none,"<AC> The answer , perhaps , is that hardly would rational people do so </AC>",<AC> the internet service is being provided at a low cost or even free in many countries </AC>
18,3,4,Premise,Claim,Support,"<AC> The answer , perhaps , is that hardly would rational people do so </AC>","<AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC>"
18,4,1,Claim,Premise,none,"<AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC>","<AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC>"
18,4,2,Claim,Premise,none,"<AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC>",<AC> the internet service is being provided at a low cost or even free in many countries </AC>
18,4,3,Claim,Premise,none,"<AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC>","<AC> The answer , perhaps , is that hardly would rational people do so </AC>"
19,1,2,Premise,Premise,none,"<AC> when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down </AC>",<AC> This is simply the contributor to the deforestation which is happening all over the world today </AC>
19,1,3,Premise,Claim,Support,"<AC> when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down </AC>",<AC> newspapers ' production will have to face environmentalists on its way to be alive </AC>
19,2,1,Premise,Premise,none,<AC> This is simply the contributor to the deforestation which is happening all over the world today </AC>,"<AC> when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down </AC>"
19,2,3,Premise,Claim,Support,<AC> This is simply the contributor to the deforestation which is happening all over the world today </AC>,<AC> newspapers ' production will have to face environmentalists on its way to be alive </AC>
19,3,1,Claim,Premise,none,<AC> newspapers ' production will have to face environmentalists on its way to be alive </AC>,"<AC> when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down </AC>"
19,3,2,Claim,Premise,none,<AC> newspapers ' production will have to face environmentalists on its way to be alive </AC>,<AC> This is simply the contributor to the deforestation which is happening all over the world today </AC>
23,1,2,Premise,Premise,none,"<AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC>",<AC> government should guarantee that all people have equal and convenient access to it </AC>
23,1,3,Premise,Premise,none,"<AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC>","<AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC>"
23,1,4,Premise,Claim,Support,"<AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC>","<AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC>"
23,2,1,Premise,Premise,none,<AC> government should guarantee that all people have equal and convenient access to it </AC>,"<AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC>"
23,2,3,Premise,Premise,none,<AC> government should guarantee that all people have equal and convenient access to it </AC>,"<AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC>"
23,2,4,Premise,Claim,Support,<AC> government should guarantee that all people have equal and convenient access to it </AC>,"<AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC>"
23,3,1,Premise,Premise,none,"<AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC>","<AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC>"
23,3,2,Premise,Premise,none,"<AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC>",<AC> government should guarantee that all people have equal and convenient access to it </AC>
23,3,4,Premise,Claim,Support,"<AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC>","<AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC>"
23,4,1,Claim,Premise,none,"<AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC>","<AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC>"
23,4,2,Claim,Premise,none,"<AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC>",<AC> government should guarantee that all people have equal and convenient access to it </AC>
23,4,3,Claim,Premise,none,"<AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC>","<AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC>"
24,1,2,Premise,Premise,none,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>",<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>
24,1,3,Premise,Premise,none,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>",<AC> Some may argue that universities can support themselve well by donation or invention </AC>
24,1,4,Premise,Premise,none,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>",<AC> this argument is invalid </AC>
24,1,5,Premise,Premise,none,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>",<AC> Researches into humanities and art still need large amount of money </AC>
24,1,6,Premise,Claim,Support,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>",<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>
24,2,1,Premise,Premise,none,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>"
24,2,3,Premise,Premise,none,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>,<AC> Some may argue that universities can support themselve well by donation or invention </AC>
24,2,4,Premise,Premise,none,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>,<AC> this argument is invalid </AC>
24,2,5,Premise,Premise,none,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>,<AC> Researches into humanities and art still need large amount of money </AC>
24,2,6,Premise,Claim,Support,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>
24,3,1,Premise,Premise,none,<AC> Some may argue that universities can support themselve well by donation or invention </AC>,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>"
24,3,2,Premise,Premise,none,<AC> Some may argue that universities can support themselve well by donation or invention </AC>,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>
24,3,4,Premise,Premise,none,<AC> Some may argue that universities can support themselve well by donation or invention </AC>,<AC> this argument is invalid </AC>
24,3,5,Premise,Premise,none,<AC> Some may argue that universities can support themselve well by donation or invention </AC>,<AC> Researches into humanities and art still need large amount of money </AC>
24,3,6,Premise,Claim,Attack,<AC> Some may argue that universities can support themselve well by donation or invention </AC>,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>
24,4,1,Premise,Premise,none,<AC> this argument is invalid </AC>,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>"
24,4,2,Premise,Premise,none,<AC> this argument is invalid </AC>,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>
24,4,3,Premise,Premise,Attack,<AC> this argument is invalid </AC>,<AC> Some may argue that universities can support themselve well by donation or invention </AC>
24,4,5,Premise,Premise,none,<AC> this argument is invalid </AC>,<AC> Researches into humanities and art still need large amount of money </AC>
24,4,6,Premise,Claim,none,<AC> this argument is invalid </AC>,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>
24,5,1,Premise,Premise,none,<AC> Researches into humanities and art still need large amount of money </AC>,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>"
24,5,2,Premise,Premise,none,<AC> Researches into humanities and art still need large amount of money </AC>,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>
24,5,3,Premise,Premise,none,<AC> Researches into humanities and art still need large amount of money </AC>,<AC> Some may argue that universities can support themselve well by donation or invention </AC>
24,5,4,Premise,Premise,none,<AC> Researches into humanities and art still need large amount of money </AC>,<AC> this argument is invalid </AC>
24,5,6,Premise,Claim,Support,<AC> Researches into humanities and art still need large amount of money </AC>,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>
24,6,1,Claim,Premise,none,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>,"<AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC>"
24,6,2,Claim,Premise,none,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>,<AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC>
24,6,3,Claim,Premise,none,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>,<AC> Some may argue that universities can support themselve well by donation or invention </AC>
24,6,4,Claim,Premise,none,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>,<AC> this argument is invalid </AC>
24,6,5,Claim,Premise,none,<AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC>,<AC> Researches into humanities and art still need large amount of money </AC>
25,1,2,MajorClaim,Claim,none,<AC> a government should spare effort on young children education as well as universities </AC>,<AC> both are crucial on the way to a brighter future </AC>
25,2,1,Claim,MajorClaim,none,<AC> both are crucial on the way to a brighter future </AC>,<AC> a government should spare effort on young children education as well as universities </AC>
27,1,2,MajorClaim,MajorClaim,none,<AC> the most important quality of roommates is being considered </AC>,<AC> communication is also another essential particularity of a good roommate </AC>
27,2,1,MajorClaim,MajorClaim,none,<AC> communication is also another essential particularity of a good roommate </AC>,<AC> the most important quality of roommates is being considered </AC>
28,1,2,Premise,Premise,none,<AC> Consideration is always important in relationship </AC>,<AC> roommate turns down the music or television volume at night time </AC>
28,1,3,Premise,Premise,none,<AC> Consideration is always important in relationship </AC>,<AC> Sometimes we will not know what we have done until we have a taste of our own medicine </AC>
28,1,4,Premise,Premise,none,<AC> Consideration is always important in relationship </AC>,"<AC> At all times , think about the other ' s feeling before doing any self - centered action would help to improve the roommate relationship tremendously </AC>"
28,1,5,Premise,Claim,Support,<AC> Consideration is always important in relationship </AC>,<AC> having a considered roommate is significantly imperative to our school life </AC>
28,1,6,Premise,Premise,none,<AC> Consideration is always important in relationship </AC>,<AC> It will not only prevent conflicts but also to have a friend or even a family member </AC>
28,2,1,Premise,Premise,Support,<AC> roommate turns down the music or television volume at night time </AC>,<AC> Consideration is always important in relationship </AC>
28,2,3,Premise,Premise,none,<AC> roommate turns down the music or television volume at night time </AC>,<AC> Sometimes we will not know what we have done until we have a taste of our own medicine </AC>
28,2,4,Premise,Premise,none,<AC> roommate turns down the music or television volume at night time </AC>,"<AC> At all times , think about the other ' s feeling before doing any self - centered action would help to improve the roommate relationship tremendously </AC>"
28,2,5,Premise,Claim,none,<AC> roommate turns down the music or television volume at night time </AC>,<AC> having a considered roommate is significantly imperative to our school life </AC>
