doc_id,essay_id,para_id,para_types,span_pos,adu_pos,aty,parent_pos,afu,text,rel_pairs,root
14,2,14,conclusion,3,0,none,0,none,". In addition , the authorities should adequately support these sustainable developments . </para-conclusion>",none,-1
16,3,16,intro,1,0,none,0,none,"<para-intro> The internet has been more and more popular for recent years , providing people with a huge source of information . As a result of this , print media such as newspapers have experienced a dramatic decline in the number of readers .",none,-1
16,3,16,intro,2,1,MajorClaim,0,none,"Some people , however , still believe that they can exist for long time ; others disagree , arguing that  newspapers have lost their competitive advantage to sustain their prolonged existence ",[],0
16,3,16,intro,3,0,none,0,none,". Personally , I am inclined to agree with the latter view for following reasons . </para-intro>",none,-1
17,3,17,body,1,0,none,0,none,<para-body>,none,-1
17,3,17,body,2,1,Premise,4,Support,"First of all ,  to obtain information , using the internet is quicker and more convenient than reading newspapers ","[(0, 3), (1, 3), (2, 3)]",0
17,3,17,body,3,0,none,0,none,,none,-1
17,3,17,body,4,2,Premise,4,Support,".  Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime ","[(0, 3), (1, 3), (2, 3)]",0
17,3,17,body,5,0,none,0,none,,none,-1
17,3,17,body,6,3,Premise,4,Support,".  As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages ","[(0, 3), (1, 3), (2, 3)]",0
17,3,17,body,7,0,none,0,none,.,none,-1
17,3,17,body,8,4,Claim,0,none,"Hence ,  the print media has failed to keep its important role in the provision of information ","[(3, 3)]",2
17,3,17,body,9,0,none,0,none,. </para-body>,none,-1
18,3,18,body,1,0,none,0,none,<para-body>,none,-1
18,3,18,body,2,1,Premise,4,Support,"Another point is that ,  from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one ","[(0, 3), (1, 3), (2, 3)]",0
18,3,18,body,3,0,none,0,none,.,none,-1
18,3,18,body,4,2,Premise,4,Support,It is clear to recognize that  the internet service is being provided at a low cost or even free in many countries ,"[(0, 3), (1, 3), (2, 3)]",0
18,3,18,body,5,0,none,0,none,". The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet",none,-1
18,3,18,body,6,3,Premise,4,Support,"?  The answer , perhaps , is that hardly would rational people do so ","[(0, 3), (1, 3), (2, 3)]",0
18,3,18,body,7,0,none,0,none,.,none,-1
18,3,18,body,8,4,Claim,0,none,"For this reason ,  the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time ","[(3, 3)]",2
18,3,18,body,9,0,none,0,none,. </para-body>,none,-1
19,3,19,body,1,0,none,0,none,<para-body>,none,-1
19,3,19,body,2,1,Premise,3,Support,"Last , but not least ,  when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down ","[(0, 2), (1, 2)]",0
19,3,19,body,3,0,none,0,none,,none,-1
19,3,19,body,4,2,Premise,3,Support,.  This is simply the contributor to the deforestation which is happening all over the world today ,"[(0, 2), (1, 2)]",0
19,3,19,body,5,0,none,0,none,.,none,-1
19,3,19,body,6,3,Claim,0,none,"At this point ,  newspapers ' production will have to face environmentalists on its way to be alive ","[(2, 2)]",2
19,3,19,body,7,0,none,0,none,. </para-body>,none,-1
22,4,22,intro,1,0,none,0,none,"<para-intro> "" Education is the investment in our future "", as Senator Bernie Sanders once pointed out , education , which fosters a civilized society , plays a significant role in a country ' s long - lasting prosperity . It is no wonder that governments throughout the world lay special emphasis on education development .",none,-1
22,4,22,intro,2,1,MajorClaim,0,none,"As for the two integral components within the system , elementary and advanced education , there ' s no doubt that  a government is supposed to offer sufficient financial support for both ",[],0
22,4,22,intro,3,0,none,0,none,. </para-intro>,none,-1
23,4,23,body,1,0,none,0,none,<para-body>,none,-1
23,4,23,body,2,1,Premise,4,Support,"Concerning that  elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society ","[(0, 3), (1, 3), (2, 3)]",0
23,4,23,body,3,0,none,0,none,,none,-1
23,4,23,body,4,2,Premise,4,Support,",  government should guarantee that all people have equal and convenient access to it ","[(0, 3), (1, 3), (2, 3)]",0
23,4,23,body,5,0,none,0,none,.,none,-1
23,4,23,body,6,3,Premise,4,Support,"So  a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development ","[(0, 3), (1, 3), (2, 3)]",0
23,4,23,body,7,0,none,0,none,.,none,-1
23,4,23,body,8,4,Claim,0,none,"In other words ,  if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education ","[(3, 3)]",2
23,4,23,body,9,0,none,0,none,. </para-body>,none,-1
24,4,24,body,1,0,none,0,none,<para-body>,none,-1
24,4,24,body,2,1,Premise,6,Support,"That ' s not enough ,  for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance ","[(0, 5), (1, 5), (2, 5), (4, 5)]",0
24,4,24,body,3,0,none,0,none,,none,-1
24,4,24,body,4,2,Premise,6,Support,.  The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community ,"[(0, 5), (1, 5), (2, 5), (4, 5)]",0
24,4,24,body,5,0,none,0,none,,none,-1
24,4,24,body,6,3,Premise,6,Attack,.  Some may argue that universities can support themselve well by donation or invention ,"[(0, 5), (1, 5), (2, 5), (4, 5)]",0
24,4,24,body,7,0,none,0,none,,none,-1
24,4,24,body,8,4,Premise,3,Attack,", but  this argument is invalid ","[(0, 5), (1, 5), (2, 5), (4, 5), (3, 2)]",0
24,4,24,body,9,0,none,0,none,,none,-1
24,4,24,body,10,5,Premise,6,Support,.  Researches into humanities and art still need large amount of money ,"[(0, 5), (1, 5), (2, 5), (4, 5)]",0
24,4,24,body,11,0,none,0,none,,none,-1
24,4,24,body,12,6,Claim,0,none,", what ' s more ,  government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide ","[(5, 5)]",2
24,4,24,body,13,0,none,0,none,. </para-body>,none,-1
25,4,25,conclusion,1,0,none,0,none,<para-conclusion>,none,-1
25,4,25,conclusion,2,1,MajorClaim,0,none,"From reasons listed above , we can safely draw the conclusion that ,  a government should spare effort on young children education as well as universities ",[],0
25,4,25,conclusion,3,0,none,0,none,,none,-1
25,4,25,conclusion,4,2,Claim,0,none,",  both are crucial on the way to a brighter future ",[],0
25,4,25,conclusion,5,0,none,0,none,. </para-conclusion>,none,-1
27,5,27,intro,1,0,none,0,none,<para-intro> Much has been said about the importance about good roommates and how roommates will affect our life in school . Research showed that friends that we made in university are more likely to be life time friends and this especially applicable to roommate .,none,-1
27,5,27,intro,2,1,MajorClaim,0,none,"In my personal opinion ,  the most important quality of roommates is being considered ",[],0
27,5,27,intro,3,0,none,0,none,.,none,-1
27,5,27,intro,4,2,MajorClaim,0,none,"In the meantime ,  communication is also another essential particularity of a good roommate ",[],0
27,5,27,intro,5,0,none,0,none,. </para-intro>,none,-1
28,5,28,body,1,1,Premise,5,Support,<para-body>  Consideration is always important in relationship ,"[(0, 4), (2, 4), (3, 4), (5, 4)]",0
28,5,28,body,2,0,none,0,none,.,none,-1
28,5,28,body,3,2,Premise,1,Support,"For example ,  roommate turns down the music or television volume at night time ","[(0, 4), (2, 4), (3, 4), (5, 4), (1, 0)]",0
28,5,28,body,4,0,none,0,none,,none,-1
28,5,28,body,5,3,Premise,5,Support,.  Sometimes we will not know what we have done until we have a taste of our own medicine ,"[(0, 4), (2, 4), (3, 4), (5, 4)]",0
28,5,28,body,6,0,none,0,none,,none,-1
28,5,28,body,7,4,Premise,5,Support,".  At all times , think about the other ' s feeling before doing any self - centered action would help to improve the roommate relationship tremendously ","[(0, 4), (2, 4), (3, 4), (5, 4)]",0
28,5,28,body,8,0,none,0,none,.,none,-1
28,5,28,body,9,5,Claim,0,none,"Therefore ,  having a considered roommate is significantly imperative to our school life ","[(4, 4)]",2
28,5,28,body,10,0,none,0,none,,none,-1
28,5,28,body,11,6,Premise,5,Support,.  It will not only prevent conflicts but also to have a friend or even a family member ,"[(0, 4), (2, 4), (3, 4), (5, 4)]",0
28,5,28,body,12,0,none,0,none,. </para-body>,none,-1
29,5,29,body,1,0,none,0,none,<para-body>,none,-1
29,5,29,body,2,1,Premise,5,Support,"Moreover ,  communication is as well making a good roommate ","[(0, 4), (1, 4), (2, 4), (3, 4), (5, 4), (6, 4)]",0
29,5,29,body,3,0,none,0,none,,none,-1
29,5,29,body,4,2,Premise,5,Support,".  People have different habit in daily life , such as tidy the blanket in the morning ","[(0, 4), (1, 4), (2, 4), (3, 4), (5, 4), (6, 4)]",0
29,5,29,body,5,0,none,0,none,,none,-1
29,5,29,body,6,3,Premise,5,Support,.  One might think this is a piece of cake while other would consider it as immense project ,"[(0, 4), (1, 4), (2, 4), (3, 4), (5, 4), (6, 4)]",0
29,5,29,body,7,0,none,0,none,,none,-1
29,5,29,body,8,4,Premise,5,Support,.  If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk ,"[(0, 4), (1, 4), (2, 4), (3, 4), (5, 4), (6, 4)]",0
29,5,29,body,9,0,none,0,none,.,none,-1
29,5,29,body,10,5,Claim,0,none,"Therefore ,  communication is very important ","[(4, 4)]",2
29,5,29,body,11,0,none,0,none,,none,-1
29,5,29,body,12,6,Premise,5,Support,as  it would clear up the misinterpretation ,"[(0, 4), (1, 4), (2, 4), (3, 4), (5, 4), (6, 4)]",0
29,5,29,body,13,0,none,0,none,,none,-1
29,5,29,body,14,7,Premise,5,Support,".  Through communication , bonded are build and we could have better understanding of each others ","[(0, 4), (1, 4), (2, 4), (3, 4), (5, 4), (6, 4)]",0
29,5,29,body,15,0,none,0,none,. </para-body>,none,-1
30,5,30,conclusion,1,0,none,0,none,"<para-conclusion> In conclusion , there are many valuable factors about roommate that are important",none,-1
30,5,30,conclusion,2,1,MajorClaim,0,none,".  Consideration and communication , in my personal opinion , are the most important quality ",[],0
30,5,30,conclusion,3,0,none,0,none,". However , people might not get what they want all the time . The sky is the limit ; there are all kinds of personality out there . We need to be flexible to be account into society . </para-conclusion>",none,-1
32,6,32,intro,1,0,none,0,none,<para-intro> Nowadays transportation has attracted much social concern . Whether governments should invest more money in traffic infrastructure or focus more on developing public transportation has erupted endless controversy .,none,-1
32,6,32,intro,2,1,MajorClaim,0,none,"It does not seem unreasonable to suggest that  governments spend more money on buses , trains , and subways investment ",[],0
32,6,32,intro,3,0,none,0,none,,none,-1
32,6,32,intro,4,2,Premise,3,Support,.  Such public vehicles are used to serve a large number of people in society ,"[(1, 2)]",0
32,6,32,intro,5,0,none,0,none,,none,-1
32,6,32,intro,6,3,Claim,0,none,therefore  they help alleviate traffic congestion and decrease the amount of carbon released into the air ,"[(2, 2)]",2
32,6,32,intro,7,0,none,0,none,. Both these two things are important . </para-intro>,none,-1
33,6,33,body,1,0,none,0,none,<para-body>,none,-1
33,6,33,body,2,1,Premise,4,Support,"First and foremost ,  carbon emission cut is significantly essential for protecting the atmosphere ","[(0, 3), (1, 3), (2, 3), (4, 5)]",0
33,6,33,body,3,0,none,0,none,.,none,-1
33,6,33,body,4,2,Premise,4,Support,"The fact is that  the more cars and motorbikes are on roads , the more seriously the ozone layer is damaged ","[(0, 3), (1, 3), (2, 3), (4, 5)]",0
33,6,33,body,5,0,none,0,none,,none,-1
33,6,33,body,6,3,Premise,4,Support,".  If governments use more money to improve roads , there is a strong likelihood that more people drive their private cars work ","[(0, 3), (1, 3), (2, 3), (4, 5)]",0
33,6,33,body,7,0,none,0,none,,none,-1
33,6,33,body,8,4,Claim,0,Support,".  This is sure to lead to more carbon emitted into the atmosphere , which can cause skin cancer and destroy the natural environment ","[(4, 5)]",0
33,6,33,body,9,0,none,0,none,.,none,-1
33,6,33,body,10,5,Premise,6,Support,"Whereas ,  if there are more good buses , trains , or subways , people are inclined to use less private vehicles , which decreases the amount of carbon released ","[(4, 5)]",0
33,6,33,body,11,0,none,0,none,.,none,-1
33,6,33,body,12,6,Claim,0,none,"Obviously ,  the policy that concentrates money on developing public transportation brings an advantageous impact on earth ","[(5, 5)]",2
33,6,33,body,13,0,none,0,none,. </para-body>,none,-1
34,6,34,body,1,0,none,0,none,<para-body>,none,-1
34,6,34,body,2,1,Premise,4,Support,"In addition ,  the policy would play a pivotal part in relieving traffic jam ","[(0, 3), (1, 3), (2, 3), (4, 3)]",0
34,6,34,body,3,0,none,0,none,,none,-1
34,6,34,body,4,2,Premise,4,Support,.  It is quiet clear that traffic congestion is a serious problem in many big cities ,"[(0, 3), (1, 3), (2, 3), (4, 3)]",0
34,6,34,body,5,0,none,0,none,.,none,-1
34,6,34,body,6,3,Premise,4,Support,The main reason for this issue is that  there are a great number of vehicles flowing on roads ,"[(0, 3), (1, 3), (2, 3), (4, 3)]",0
34,6,34,body,7,0,none,0,none,.,none,-1
34,6,34,body,8,4,Claim,0,none,"In order to tackle the problem ,  governments have to turn people ' attention on public vehicles to reduce cars and motorbikes ","[(3, 3)]",2
34,6,34,body,9,0,none,0,none,,none,-1
34,6,34,body,10,5,Premise,4,Support,.  There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion ,"[(0, 3), (1, 3), (2, 3), (4, 3)]",0
34,6,34,body,11,0,none,0,none,. </para-body>,none,-1
35,6,35,conclusion,1,0,none,0,none,<para-conclusion>,none,-1
35,6,35,conclusion,2,1,Claim,0,none,"In conclusion , I would concede that  high - quality roads and highways make it easier to move around ",[],0
35,6,35,conclusion,3,0,none,0,none,.,none,-1
35,6,35,conclusion,4,2,MajorClaim,0,none,"Nevertheless ,  public transportation systems even have more important advantages ",[],0
35,6,35,conclusion,5,0,none,0,none,,none,-1
35,6,35,conclusion,6,3,Claim,0,none,.  They not only ease traffic jam but also protect the atmosphere ,[],0
35,6,35,conclusion,7,0,none,0,none,. That is why many governments around the world invest more money on developing public transportation facilities . </para-conclusion>,none,-1
43,8,43,intro,1,0,none,0,none,"<para-intro> Technology accelerates human ' s evolving pace . With advanced technology , many things that seemed impossible in the past , have become realities . For example , people in the past never dreamed of talking to anyone whenever they wanted or see someone overseas on a computer screen , both of these can be achieved with cellphone and internet . However , some people point that technology has made children less creative .",none,-1
43,8,43,intro,2,1,Claim,0,none,I don ' t deny that  technology may have some negative effects on children ,[],0
43,8,43,intro,3,0,none,0,none,,none,-1
43,8,43,intro,4,2,MajorClaim,0,none,", but I think  technology makes children even more creative ",[],0
43,8,43,intro,5,0,none,0,none,. </para-intro>,none,-1
44,8,44,body,1,0,none,0,none,<para-body>,none,-1
44,8,44,body,2,1,Premise,7,Support,"First ,  technology inspires children to create new things ","[(0, 6), (2, 6), (3, 6), (4, 6), (5, 6)]",0
44,8,44,body,3,0,none,0,none,,none,-1
44,8,44,body,4,2,Premise,3,Support,.  Children are curious about everything around them ,"[(0, 6), (2, 6), (3, 6), (4, 6), (5, 6), (1, 2)]",0
44,8,44,body,5,0,none,0,none,,none,-1
44,8,44,body,6,3,Premise,7,Support,", so  when they come across a high - tech product like a cellphone , they will be obsessed with its mysterious functions and eager to know how it works ","[(0, 6), (2, 6), (3, 6), (4, 6), (5, 6)]",0
44,8,44,body,7,0,none,0,none,.,none,-1
44,8,44,body,8,4,Premise,7,Support,"For example ,  Bill Gates was attracted by the original huge computer , then he did everything he could to understand how it worked ","[(0, 6), (2, 6), (3, 6), (4, 6), (5, 6)]",0
44,8,44,body,9,0,none,0,none,,none,-1
44,8,44,body,10,5,Premise,7,Support,".  After he had figured out all the stuff , he then began to promote the computer ","[(0, 6), (2, 6), (3, 6), (4, 6), (5, 6)]",0
44,8,44,body,11,0,none,0,none,,none,-1
44,8,44,body,12,6,Premise,7,Support,".  In the end , he successfully invented a computer that was easy to use and lightweight ","[(0, 6), (2, 6), (3, 6), (4, 6), (5, 6)]",0
44,8,44,body,13,0,none,0,none,.,none,-1
44,8,44,body,14,7,Claim,0,none,"Therefore ,  instead of interfering children ' s creativity , technology actually encourages children to learn and to create ","[(6, 6)]",2
44,8,44,body,15,0,none,0,none,. </para-body>,none,-1
45,8,45,body,1,0,none,0,none,<para-body>,none,-1
45,8,45,body,2,1,Premise,6,Support,"Second ,  technology widen children ' s knowledge ","[(0, 5), (1, 5), (3, 5), (4, 5)]",0
45,8,45,body,3,0,none,0,none,,none,-1
45,8,45,body,4,2,Premise,6,Support,".  In the past , children were only able to see things from one perspective ","[(0, 5), (1, 5), (3, 5), (4, 5)]",0
45,8,45,body,5,0,none,0,none,.,none,-1
45,8,45,body,6,3,Premise,4,Support,"However ,  with highly advanced technology , children are able to get information from foreign countries and even communicate with foreign friends ","[(0, 5), (1, 5), (3, 5), (4, 5), (2, 3)]",0
45,8,45,body,7,0,none,0,none,.,none,-1
45,8,45,body,8,4,Premise,6,Support,"Therefore ,  they will be able to learn about different cultures and different ways of thinking ","[(0, 5), (1, 5), (3, 5), (4, 5)]",0
45,8,45,body,9,0,none,0,none,,none,-1
45,8,45,body,10,5,Premise,6,Support,.  Knowledge is the base of creativity ,"[(0, 5), (1, 5), (3, 5), (4, 5)]",0
45,8,45,body,11,0,none,0,none,,none,-1
45,8,45,body,12,6,Claim,0,none,".  The diverse knowledge that children gained from different parts of the world , inspires children and encourage them to create new things ","[(5, 5)]",2
45,8,45,body,13,0,none,0,none,. </para-body>,none,-1
46,8,46,conclusion,1,0,none,0,none,<para-conclusion>,none,-1
46,8,46,conclusion,2,1,Claim,0,none,"Admittedly ,  technology may have negative effects on children ","[(0, 0)]",2
46,8,46,conclusion,3,0,none,0,none,,none,-1
46,8,46,conclusion,4,2,Premise,1,Support,.  Technology has made life too easy for most children ,"[(1, 0), (2, 0), (3, 0)]",0
46,8,46,conclusion,5,0,none,0,none,,none,-1
46,8,46,conclusion,6,3,Premise,1,Support,".  In comfortable conditions , children may be satisfied with the world around them and refuse to make a change ","[(1, 0), (2, 0), (3, 0)]",0
46,8,46,conclusion,7,0,none,0,none,.,none,-1
46,8,46,conclusion,8,4,Premise,1,Attack,"Nonetheless ,  with the development of technology , increasingly more young people become obsessed with high - tech products ","[(1, 0), (2, 0), (3, 0)]",0
46,8,46,conclusion,9,0,none,0,none,,none,-1
46,8,46,conclusion,10,5,MajorClaim,0,Attack,.  They kept researching new technology and became successful at a very young age ,[],0
46,8,46,conclusion,11,0,none,0,none,. </para-conclusion>,none,-1
53,10,53,intro,1,0,none,0,none,<para-intro> The introduction of email and text messaging has brought about considerable changes in communication .,none,-1
53,10,53,intro,2,1,MajorClaim,0,none,"With this situation , some people believe that  they may be factors decreasing the position of written language ",[],0
53,10,53,intro,3,0,none,0,none,. I am in favor of that idea because of their advantages and the fact we can see today about the use of these new means . </para-intro>,none,-1
54,10,54,body,1,0,none,0,none,<para-body>,none,-1
54,10,54,body,2,1,Claim,0,none,"First of all ,  it is easy to point out many benefits users can get from email and text messaging , which answers to the question of their great popularity ","[(0, 0)]",2
54,10,54,body,3,0,none,0,none,,none,-1
54,10,54,body,4,2,Premise,1,Support,".  Before email and mobile phone , human beings communicated by meeting directly , sending letters or later , calling from home phones ","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0)]",0
54,10,54,body,5,0,none,0,none,,none,-1
54,10,54,body,6,3,Premise,1,Support,".  Such ways usually made people have troubles for the expensiveness , difficulties in far communication or emergency and the loss of information ","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0)]",0
54,10,54,body,7,0,none,0,none,.,none,-1
54,10,54,body,8,4,Premise,1,Support,"However ,  email and cell phones have improved the obstacles above ","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0)]",0
54,10,54,body,9,0,none,0,none,,none,-1
54,10,54,body,10,5,Premise,1,Support,.  People can send or receive electronic letters anywhere and anytime they want ,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0)]",0
54,10,54,body,11,0,none,0,none,.,none,-1
54,10,54,body,12,6,Premise,1,Support,"Especially ,  thanks to the function provided by email and text messaging ( SMS ), it is cheaper and faster to transfer a lot of information , even to many people at the same time ","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0)]",0
54,10,54,body,13,0,none,0,none,,none,-1
54,10,54,body,14,7,Premise,1,Support,.  They are so convenient that the majority of population prefer to use them instead of some traditional ways ,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0)]",0
54,10,54,body,15,0,none,0,none,. </para-body>,none,-1
55,10,55,body,1,1,Claim,0,none,"<para-body>  The popularity of email and text messaging , as a result , leads to the losing of written language ' s position ","[(0, 0)]",2
55,10,55,body,2,0,none,0,none,,none,-1
55,10,55,body,3,2,Premise,3,Support,.  People tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities ,"[(2, 0), (4, 0), (5, 0), (1, 2), (3, 2)]",0
55,10,55,body,4,0,none,0,none,.,none,-1
55,10,55,body,5,3,Premise,1,Support,The outcome is that  language in writing is not in its original form ,"[(2, 0), (4, 0), (5, 0)]",0
55,10,55,body,6,0,none,0,none,.,none,-1
55,10,55,body,7,4,Premise,3,Support,"Even in some cases ,  people compose a message with only emoticons ( the expressions by face created by service providers ), which means there is no room for writing or typing texts ","[(2, 0), (4, 0), (5, 0), (1, 2), (3, 2)]",0
55,10,55,body,8,0,none,0,none,.,none,-1
55,10,55,body,9,5,Premise,1,Support,"Moreover ,  it is more dangerous that youngsters sometimes use such new languages in their studying , writing assignments ","[(2, 0), (4, 0), (5, 0)]",0
55,10,55,body,10,0,none,0,none,,none,-1
55,10,55,body,11,6,Premise,1,Support,".  If that tendency continues at a rapid pace , written language may face up to a real problem about its stand ","[(2, 0), (4, 0), (5, 0)]",0
55,10,55,body,12,0,none,0,none,. </para-body>,none,-1
56,10,56,conclusion,1,0,none,0,none,<para-conclusion>,none,-1
56,10,56,conclusion,2,1,MajorClaim,0,none,"In conclusion ,  we cannot deny the threat from email and text messaging to the status of written language because their obvious popularity ",[],0
56,10,56,conclusion,3,0,none,0,none,". Nevertheless , educators and individuals themselves , especially the youths should pay ore attention to this matter so that we can take advantages of the new language along with preserving the traditional one . </para-conclusion>",none,-1
58,11,58,intro,1,0,none,0,none,"<para-intro> With the rapid development of the standard of people ' s life , increasing numbers of animal experiments are done , new medicines and foods , for instance .",none,-1
